"","product","Fruity","Bitter","Pungent","acidity","PV","K232","K270","OS","C160","C161","C170","C171","C180","C181","C182","C183","C200","C201","SFA_UFA","CHLO","alTOC","betTOC","gamTOC","Carot","LLL","LnLO","LnLP","LLO","LnOO","PLL","LOO","LOP","PLP","OOO","POO","POP","ALO","SOO","SOP","TP","LIGN_ST","OLAGLST","LIGAGLST","DMEAST","OXYEAST","EAST","LUTEOST","APIGST","Octane","EthylAct","Methol","MetButal","Ethanol","PteDym","Ptan3on","Pen3one","IsbAlco","Pentol","HeylAtat","Hexanol","cis3xol","Nonanal","Tran2Hol","AcetAcid","exoicAci","OctoicAcid","Clsterol","Casterol","Stigstol","BtSitrol","dt5sol","delSgol","del7Stg","det7Asto","ErythUol","Hexanal","Pent3ol","cis3Hexe","tra2Hex","HylAcet","ci251ol"
"1","ArbMorg1",2,0,0,0.28,13.5,2.41,0.13,3.53,16.73,1.88,0.07,0.15,1.96,62.97,15.25,0.47,0.3,0.18,0.24,0.1,163.23,48.6,6.6,0.07,0.52,0.27,0.31,5.29,2.74,0.47,17.46,11.88,1.91,26.51,22.51,4.62,0.87,3.14,1.47,136,17,55,28,17,0,37,15,4,94.01,6.63,13.63,3.72,57.82,47.67,25.74,9.3,4.97,11.13,4.94,40.08,18.49,4.97,52.61,17.42,3.21,1.34,0.82,3.38,0.64,80.38,12.97,0.55,0.36,0.78,1.92,147.59,26.58,1.87,272.24,1.9,14.32
"2","ArbMorg2",2,0,0.5,0.26,13.4,2.35,0.12,3.85,16.84,1.91,0.08,0.16,1.94,62.84,15.25,0.47,0.28,0.17,0.24,0.1,163.23,47.8,7.3,0.07,0.52,0.26,0.15,5.51,3.5,0.15,16.73,14.08,2.36,23.55,24.67,4.98,0.19,2.54,0.74,142,17,50,27,19,0,34.7,14.3,4,94.03,6.74,13.64,3.7,58.15,47.2,26.32,9.12,5.38,10.58,4.35,39.36,19.12,5.05,51,17.38,3,1.3,0.81,3.39,0.6,80.47,12.98,0.53,0.36,0.77,1.93,147.63,27.01,1.87,273,1.85,13.79
"3","ArbMorg3",3.3,0,1.5,0.3,13.49,2.33,0.13,3.21,15.16,1.5,0.05,0.12,2.06,64.74,15.25,0.55,0.28,0.22,0.21,0.1,163.23,48.2,6.95,0.06,0.46,0.26,0.14,4.99,3.96,0.13,15.85,14.61,2.36,23.4,24.46,5.21,0.2,3.08,0.81,130,17,60,29,15,0,39.3,15.7,4,93.99,6.52,13.62,3.74,57.49,48.14,25.16,9.48,4.56,11.68,5.53,40.8,17.86,4.89,54.22,17.46,3.42,1.38,0.8,3.4,0.68,80.29,12.97,0.57,0.37,0.79,1.91,147.55,26.15,1.94,271.48,1.95,14.85
"4","ChemlSf1",1.5,1,0,0.6,20.9,2.77,0.13,2.31,16.16,2.07,0.04,0.08,2.06,61.61,16.85,0.66,0.29,0.15,0.23,0.16,209.9,8.2,11.2,0.1,0.65,0.46,0.23,6.33,3.75,0.82,17.49,13.54,2.23,22.69,21.65,5.13,0.29,3.19,1.16,91,14,11,30,10,0,21,11,6,215.38,4.29,74.7,8.22,473.11,25.94,104.55,0.84,11.71,34.74,5.15,177.15,29.63,3.15,43.27,1.55,1.84,0,0.9,3.14,0.54,77.49,16.13,0.72,0.26,0.71,1.64,72.12,35.33,2.82,39.03,4.07,5.17
"5","ChemlSf2",2,1.1,0,0.6,20.9,2.78,0.12,2.06,16.32,2.1,0.04,0.09,1.95,61.55,16.86,0.67,0.26,0.14,0.23,0.15,208.07,7.1,10.9,0.1,0.65,0.28,0.11,5.75,2.21,0.62,18.9,10.55,1.45,30.86,20.07,2.97,0.51,4.01,0.98,95,15,12,32,9,0,23,14,7,216.02,4.23,74.76,8.12,473.5,26.75,100.98,0.82,11.82,35.12,5.46,178.41,30.36,3.3,42.64,1.6,1.65,0,0.85,3.17,0.5,77.52,16.14,0.73,0.27,0.72,1.65,71.78,35.13,2.68,39.23,4.09,4.66
"6","ChemlSf3",2.5,1.5,0,0.6,20.85,2.82,0.14,2.56,16.31,2.1,0.03,0.07,2.07,61.23,17.1,0.69,0.29,0.15,0.23,0.16,208.99,7.65,11.05,0.08,0.66,0.37,0.17,5.54,2.98,0.72,18.19,12.04,1.84,33.72,41.72,4.05,0.4,3.6,1.07,87,13,10,28,11,0,19,8,5,214.74,4.35,74.64,8.32,472.72,25.13,108.12,0.86,11.6,34.36,4.84,175.89,28.9,3,43.9,1.5,2,0,0.95,3.11,0.58,77.46,16.12,0.71,0.28,0.7,1.63,72.46,35.47,2.96,38.83,4.05,5.68
"7","ChetBor1",3,3.86,3.22,0.32,5.5,2.01,0.19,9.39,10.73,0.05,0.05,0.06,2.47,71.73,13.62,0.53,0.35,0.37,0.16,0.35,308.94,18.4,18.9,0.06,0.42,0.37,0.11,4.69,2.13,0.47,17.91,8.17,0.9,35.18,18.99,2.99,1.05,4.7,0.53,163,11,66,49,3,1,39,10,5,74.47,0.55,7.01,2.26,12.35,24.08,59.78,0.64,3,6.31,14.87,27.2,91.79,3.51,3.58,0.19,0.54,0.38,0.85,2.8,1.22,81.84,11.93,0.45,0.36,0.42,1.58,12.35,3.57,0.63,4.98,2.09,3.93
"8","ChetBor2",3.5,3.9,4,0.26,5.5,1.99,0.2,9.66,10.59,0.04,0.05,0.02,2.21,72.08,13.65,0.55,0.38,0.41,0.15,0.37,340.33,18.8,19.1,0.06,0.41,0.27,0.07,4.78,1.98,0.3,17.9,7.57,0.66,36.99,18.73,2.27,0.62,5.08,0.94,165,12,69.5,50,2.8,1,39,10.5,6,73.82,0.55,7.03,2.22,12.23,24.27,59.46,0.58,3.2,6.31,15.64,27,91.53,3.55,3.6,0.35,0.6,0.5,0.84,2.8,1.25,81.89,11.91,0.42,0.37,0.43,1.59,12.4,3.58,0.62,5.08,2.04,4
"9","ChetBor3",4.2,3,4.5,0.28,5,1.99,0.19,9.12,9.58,0.12,0.04,0.02,2.54,72.36,13.88,0.56,0.41,0.41,0.14,0.36,324.64,18.6,19,0.09,0.43,0.27,0.1,4.92,1.73,0.38,17.92,7.96,0.7,35.76,19.99,2.22,0.64,5.13,0.97,161,10,62.5,48,3.2,1,39,9.5,4,75.12,0.55,6.99,2.3,12.47,23.89,60.1,0.7,2.98,6.31,14.1,27.4,92.05,3.47,3.56,0.25,0.4,0.3,0.86,2.8,1.22,81.79,11.95,0.48,0.38,0.42,1.58,12.3,3.56,0.64,4.88,2.14,3.86
"10","ChetMz1",2.5,3.6,3,0.28,5.04,2.07,0.2,11.56,10.1,0.08,0.04,0.05,2.69,71.86,13.86,0.53,0.36,0.4,0.15,0.71,350.02,7,19.7,0.15,0.43,0.3,0.11,5.36,2.21,0.43,19.33,7.74,0.71,34.54,17.9,2.27,2.84,4.96,0.86,566,3,381,153,1,0,22,7,5,35.48,0.19,3.41,0.57,2.86,21.57,20.1,0.37,1.69,2.34,7.48,4.8,13.46,2.11,0.75,4.16,0.5,0.55,0.81,2.71,1.05,80.8,13.37,0.5,0.33,0.34,1.85,13.82,8.69,0.29,8.08,4.33,4.85
"11","ChetMz2",3,4,1.5,0.28,5.04,2.02,0.19,11.1,10.27,0.1,0.05,0.06,2.74,71.72,13.76,0.53,0.37,0.37,0.16,0.69,414.5,6.6,20.6,0.15,0.36,0.13,0.1,4.78,2.19,0.31,19.29,7.54,0.57,36.46,18.45,2.12,0.66,5.48,1.13,560,5,385,158,1,0,21.5,8,5.5,35.84,0.19,3.44,0.54,3.02,22.14,19.4,0.56,2.09,2.49,7.42,4.92,13.12,1.82,0.7,4.5,0.5,0.55,0.82,2.72,1.05,80.78,13.45,0.5,0.34,0.35,1.85,13.85,8.59,0.37,8.15,4.2,5.05
"12","ChetMz3",4.5,4,2,0.3,5,2.02,0.18,12.02,9.59,0.2,0.04,0.04,2.93,71.57,14.2,0.61,0.38,0.37,0.15,0.68,382.26,6.8,20.15,0.12,0.48,0.28,0.12,5.17,1.74,0.48,19.33,7.55,0.6,36.94,18.11,2.01,0.69,5.41,1.02,572,4,377,148,1.1,0,22.5,6,4.5,35.12,0.19,3.38,0.6,2.7,21,20.8,0.18,1.29,2.19,7.54,4.68,13.8,2.4,0.8,3.82,0.5,0.55,0.8,2.73,1.05,80.82,13.29,0.5,0.33,0.33,1.85,13.79,8.79,0.21,8.01,4.46,4.65
"13","ChetTes1",4.5,3.5,3.26,0.26,9,1.65,0.13,8.32,11.9,0.45,0.04,0.06,2.41,71.37,13.31,0.63,0.29,0.3,0.17,0.52,476.95,17.6,22,0.09,0.4,0.39,0.24,4.1,2.17,0.45,17.9,8.31,0.81,35.6,20.36,2.75,0.61,4.65,0.92,185,4,66,75,1,0,26,11,6,122.09,1.45,9.69,5.39,23.62,56.54,172.24,0.92,9.05,7.84,11.19,66.16,109.69,4.83,14.27,1.62,1.72,1.01,0.99,0.56,1.3,84.24,9.54,0.56,0.29,0.37,1.96,33.83,14.73,1.38,27.64,6,6.72
"14","ChetTes2",4.5,3,4,0.28,9.01,1.89,0.13,8.19,11.57,0.63,0.04,0.07,2.35,68.34,14.37,0.67,0.33,0.38,0.17,0.51,477.57,18.8,22.6,0.09,0.36,0.38,0.27,4.13,2.18,0.47,17.91,8.3,0.82,35.62,20.37,2.71,0.6,4.69,0.93,184,5,69.5,70,0.9,0,25,11,6.5,122.01,1.5,9.37,5.4,23.68,56.38,172,0.95,8.98,7.95,11.21,66.08,110.1,4.64,14.19,1.9,1.7,1.2,0.97,0.55,1.27,84.25,9.53,0.55,0.3,0.38,1.98,33.78,14.7,1.37,27.72,5.96,6.7
"15","ChetTes3",4.3,3,2.5,0.25,8.7,1.89,0.14,8.45,10.89,0.47,0.04,0.05,2.45,71.64,13.32,0.57,0.28,0.25,0.16,0.51,477.26,18.2,22.3,0.06,0.41,0.42,0.3,4.16,2.19,0.46,17.92,8.29,0.83,35.64,20.38,2.67,0.59,4.73,0.94,186,3,62.5,80,1.1,0,27,11,5.5,122.17,1.67,10.01,5.38,23.56,56.7,172.48,0.89,9.12,7.73,11.17,66.24,109.28,5.02,14.35,1.34,1.7,0.82,1.01,0.57,1.33,84.23,9.55,0.57,0.29,0.36,1.94,33.88,14.76,1.39,27.56,6.04,6.74
"16","OuesMz1",4,2.74,1.8,0.44,15,2.45,0.15,5.34,12.09,0.21,0.03,0.05,2.05,70.07,14.31,0.51,0.32,0.33,0.17,0.77,362.1,21.4,26.5,0.1,0.54,0.39,0.11,5.37,2.32,0.45,19.42,9.39,1.06,31.79,20.2,3.18,0.48,3.47,1.17,194,34,82,48,3,0,55,9,4,71.52,0,20.27,3.06,111.45,23.31,45.28,0.78,4.69,9.03,8.98,50.99,85.07,1.56,10.97,2.46,0,0,0.85,2.91,0.91,81.11,12.88,0.52,0.22,0.51,1.54,11.23,16.01,0,13.37,4.06,6.34
